scenario,phi_deg,target_fill_factor,relative_to_ideal_swarm_same_eta,equivalent_ideal_ring_half_angle_deg,feasible,minimum_power_w,reflector_area_m2,reflector_side_m,pv_area_m2,structure_mass_kg,structure_areal_density_g_m2,system_areal_density_g_m2,sigma_limit_g_m2,margin_g_m2
cross_nominal,1.5,0.25,0.25,14.477512185929925,True,239131.60906984398,2565.0054336371813,50.64588269185543,641.2513584092953,9.771746724101408,3.8096397754000306,22.509639775400032,22.50963977540003,-3.552713678800501e-15
perimeter_nominal,1.5,0.25,0.25,14.477512185929925,True,428392.2949474652,4595.078703909911,67.7870098463556,1148.7696759774778,17.505594601508818,3.8096397754000306,22.50963977540003,22.50963977540003,0.0
cross_light,1.5,0.5,0.5,29.999999999999996,False,,,,,,,,,
cross_nominal,1.5,0.5,0.5,29.999999999999996,False,,,,,,,,,
perimeter_nominal,1.5,0.5,0.5,29.999999999999996,False,,,,,,,,,
cross_light,1.75,0.01,0.01,0.5729673448571527,True,743.9539961529019,199.49747023520217,14.124357338838541,1.9949747023520217,2.742446415764459,13.746772891561923,19.294772891561923,19.294772891561923,0.0
cross_nominal,1.75,0.01,0.01,0.5729673448571527,True,1065.4360683333325,285.70556973815206,16.902827270553054,2.857055697381521,3.9275295810446833,13.746772891561923,19.294772891561927,19.294772891561923,-3.552713678800501e-15
perimeter_nominal,1.75,0.01,0.01,0.5729673448571527,True,1668.4152308024798,447.3994622895572,21.15181936121707,4.473994622895573,6.150298799901466,13.746772891561923,19.294772891561927,19.294772891561923,-3.552713678800501e-15
cross_light,1.75,0.05,0.05,2.8659839825988622,True,5003.740495558938,268.3589511554373,16.381665091053392,13.417947557771866,3.1008267340188373,11.554772891561923,19.294772891561923,19.294772891561923,0.0
cross_nominal,1.75,0.05,0.05,2.8659839825988622,True,7047.136038967698,377.94966340591645,19.44092753460895,18.897483170295825,4.367122525097637,11.554772891561923,19.294772891561923,19.294772891561923,0.0
perimeter_nominal,1.75,0.05,0.05,2.8659839825988622,True,11276.339570074413,604.7689048989532,24.592049627856422,30.238445244947663,6.987967347986015,11.554772891561923,19.294772891561923,19.294772891561923,0.0
cross_light,1.75,0.1,0.1,5.739170477266787,True,16049.196082115912,430.37258140257296,20.74542314349295,43.0372581402573,3.7936365638189273,8.814772891561923,19.294772891561923,19.294772891561923,0.0
cross_nominal,1.75,0.1,0.1,5.739170477266787,True,22046.236315396174,591.1882180716243,24.31436238258417,59.11882180716243,5.211189878468553,8.814772891561923,19.294772891561927,19.294772891561923,-3.552713678800501e-15
